platform	score	source
zmachine	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/zmachine/logo.svg
auto-favorites	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/auto-favorites/logo.svg
retropie	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/retropie/logo.svg
consoles	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Consoles/Pico-8-12.svg
daphne	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/daphne/logo.svg
toaplan	3	Logo Builders/Builders/Apple II/Toaplan/Toaplan_logo.svg
playdate	3	Logo Builders/Builders/Playdate/Playdate_logo_-_alternative_version.svg
famicom	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/famicom/logo.svg
apple-ios	3	Logo Builders/Builders/Apple IOS/iPhone - Apple-3.svg
c128	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/c128/logo.svg
tg-cd	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/tg-cd/logo.svg
game-boy	3	Logo Builders/Builders/Nintendo Game Boy (Thin Version)/Nintendo Game Boy New Thin Version-01.svg
tg16	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/tg16/logo.svg
pcfx	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/pcfx/logo.svg
atarist	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/atarist/logo.svg
dreamcast	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/dreamcast/logo.svg
rough-rider-by-geengraphy	5	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/White (Rough Rider by geengraphy)/Indie Games.svg
atari-lynx	3	Logo Builders/z.old/emulation station logos/es-theme-tronkyfran-master/atarilynx/art/atari_lynx_wire.svg
kodi	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/kodi/logo.svg
pcengine	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/pcengine/logo.svg
android-old-style	3	Logo Builders/Builders/Android (old style)/Android_logo_2.svg
megadrivej	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/megadrivej/controller.svg
virtualboy	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/virtualboy/logo.svg
ngpc	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/ngpc/logo.svg
shiny-blue-futura-pt-bold	3	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/Shiny Blue (Futura PT Bold)/Indie Games.svg
new-folder	3	Logo Builders/Builders/Casio PV-1000/New folder/casio-logo.svg
neogeo	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/neogeo/logo.svg
ds	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/nds/logo.svg
desktop	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/desktop/logo.svg
apple-tv-plus-large	3	Logo Builders/Builders/Apple IOS/official/apple_tv_plus_light__fjwmgqxuwomu_large.svg
switch	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Consoles/Nintendo Switch-01.svg
coco	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/coco/logo.svg
mame	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/mame/logo.svg
shiny-red-futura-pt-bold	3	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/Shiny Red (Futura PT Bold)/Indie Games.svg
atari-jaguar	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Consoles/Atari Jaguar-11.svg
c64	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/c64/logo.svg
snes	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/snes-pal/logo.svg
videopac	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/videopac/logo.svg
sfc	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/sfc/logo.svg
fujitsu-fm-7	3	Logo Builders/Builders/Fujitsu FM-7/Fujitsu FM-7/Fujitsu-Logo.svg
nintendo-game-watch	3	Logo Builders/Builders/Nintendo Game & Watch/Game_and_watch_logo wikimedia commons.svg
amigacd32	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/amigacd32/logo.svg
gameandwatch	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/gameandwatch/logo.svg
genesis-2-79959	3	Logo Builders/z.old/system logos (beginning ideas of collection)/genesis_2_79959/genesis-2.svg
pc98	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/pc98/logo.svg
amiga	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/amiga/logo.svg
gamecube	3	Logo Builders/z.old/emulation station logos/es-theme-tronkyfran-master/gc/art/gamecube_wire.svg
amstradcpc	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/amstradcpc/logo.svg
ti99	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/ti99/logo.svg
